Wert,Betrag / Satz,Betroffene Seite,Flag,Letzte Änderung um,Prüfen bis,Quelle,Rechtsgrundlage §,Rechtsnatur,Rechtsstand
BEHG CO₂-Preis 2025,"55,00 €/t (Festpreisphase)",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/behg/__10.html,§ 10 BEHG,Gesetz,07/2026
Emissionsfaktor Erdgas (K4),"0,201 kg CO₂/kWh — nur Fallback. BEZUGSGRÖSSE: kWh = HEIZWERT (Hu). Gasrechnungen weisen Brennwert-kWh (Ho) aus — diese vorher × 0,903 umrechnen, sonst liegen die Emissionen 10,8 % zu hoch. Alternativ direkt 0,181 kg CO₂/kWh(Ho) rechnen; beide Wege führen zum selben Ergebnis.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/ebev_2030/anlage_2.html,"keine Anwendungspflicht — Ersatzwert bei fehlender Lieferantenangabe nach § 3 CO2KostAufG. § 3 Abs. 1 Nr. 3 verlangt ausdrücklich den HEIZWERTBEZOGENEN Emissionsfaktor. Wert = Anlage 2 Teil 4 Nr. 6 EBeV 2030 (0,0558 t CO₂/GJ × 0,0036 GJ/kWh = 0,20088 kg/kWh). Der dort genannte Umrechnungsfaktor 3,2508 GJ/MWh (= 3,6 × 0,903) betrifft die BEHG-Meldekette des Inverkehrbringers, der Erdgas in Brennwert-MWh meldet — nicht die Rechnungsausweisung nach § 3.",Konvention,07/2026
UVI-Turnus,monatlich ab 01.01.2022 — nur wenn fernablesbare Ausstattung vorhanden,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 05 · Wächter / Fristen (https://app.notion.com/p/05-W-chter-Fristen-3a95fd42073181038246e579777508f9?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/heizkostenv/__6a.html,§ 6a Abs. 1 Nr. 2 HeizkostenV,Verordnung,07/2026
Plausibilitätsband CO₂ (K6),"5–70 kg CO₂/m²/a — Warnung, nie Blockade",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/co2kostaufg/BJNR215400022.html,keine — reine Produktheuristik. Anknüpfung: das Stufenmodell der Anlage zum CO2KostAufG spannt 0 bis ≥ 52 kg CO₂/m²/a auf; das Band 5–70 legt sich mit Reserve darüber.,Heuristik,07/2026
Emissionsfaktor Flüssiggas (K4),"0,236 kg CO₂/kWh — nur Fallback",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,13. August 2026 18:01,5. August 2026,https://www.gesetze-im-internet.de/ebev_2030/anlage_2.html,"keine Anwendungspflicht — Ersatzwert bei fehlender Lieferantenangabe nach § 3 CO2KostAufG. Wert = Anlage 2 Teil 4 Nr. 5b EBeV 2030 (Flüssiggas zu Heizzwecken: 0,0655 t CO₂/GJ × 0,0036 GJ/kWh = 0,2358 kg/kWh, kaufmännisch 0,236).",Konvention,07/2026
Warmwasser-Pauschale ohne Messung,Q = 32 × Wohnfläche [kWh/a],01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/heizkostenv/__9.html,§ 9 Abs. 3 HeizkostenV,Verordnung,07/2026
Fiktivbelegung bei Leerstand,"letzte bekannte Belegung der Einheit, mindestens 1, taggenau; umschaltbar auf „immer 1""",01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,,"LG Krefeld 2 S 56/09; BGH VIII ZR 180/12 (Tatfrage, nicht höchstrichterlich geklärt)",Konvention,07/2026
CO₂-Aufteilung Nichtwohngebäude,50 % / 50 %,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/co2kostaufg/__8.html,§ 8 CO2KostAufG,Gesetz,07/2026
Abweichungsschwelle Warmwasserzähler,"Zweistufig zwischen Σ Wohnungszähler und zentralem Volumen: ab 10 % Hinweis (nicht blockierend), ab 20 % Warnung mit Rechtsfolgenhinweis. Nie Blockade.",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,27. Juli 2026 17:00,5. August 2026,,"keine — Produktheuristik. Anknüpfung untere Stufe: Verkehrsfehlergrenze Wohnungswasserzähler nach § 22 Abs. 2 MessEV i. V. m. RL 2014/32/EU Anhang III (MI-001) = doppelte Eichfehlergrenze, also ± 10 % im unteren und ± 4 % im oberen Belastungsbereich. Obere Stufe (20 %): NICHT gegen eine Primärquelle verifiziert — die Zahl stammt aus Instanzrechtsprechung zur Umlagefähigkeit, konkrete Fundstelle steht aus.",Heuristik,07/2026
Vermutungswirkung Witterungsbereinigung,Bekanntmachung von BMWi + BMI im Bundesanzeiger — EXISTENZ NICHT VERIFIZIERT,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__6a.html,§ 6a Abs. 3 S. 4 HeizkostenV,Verordnung,07/2026
Gradtagszahltabelle VDI (K3),Zehntelpromille je Monat (Σ = 10000): 1700·1500·1300·800·400·133·133·134·300·800·1200·1600. Anzeige in Promille = Wert / 10.,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,27. Juli 2026 19:01,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__9b.html,"§ 9b Abs. 2 HeizkostenV („anerkannte Regeln der Technik""); Tabelle selbst: VDI 2067 Blatt 1, Ausgabe 12/1983, Tabelle 22.",Konvention,07/2026
Geräteeinheiten — Rundung (K11),"1 Nachkommastelle, round_half_up; Wohnungssumme = Summe der gerundeten Gerätewerte",01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,,"keine — reine Hauskonvention. Recherche 27.07.2026: keine externe Quelle vorhanden, weder Norm noch anerkannte Regel der Technik.",Konvention,07/2026
CO₂-Stufenmodell Wohngebäude,"10 Stufen, Vermieteranteil 0 % (<12 kg/m²a) bis 95 % (≥52). Intervalle links geschlossen, rechts offen.","01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/co2kostaufg/BJNR215400022.html,§§ 5–7 + Anlage CO2KostAufG,Gesetz,07/2026
Denkmal-/Milieuschutz — vollständiger Ausschluss,Vermieteranteil 0 %,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/co2kostaufg/BJNR215400022.html,§ 9 Abs. 2 CO2KostAufG,Gesetz,07/2026
CO₂-Pflichtangaben in der Abrechnung,Mieteranteil an den CO₂-Kosten + Einstufung + Berechnungsgrundlagen,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/co2kostaufg/BJNR215400022.html,§ 7 Abs. 3 CO2KostAufG,Gesetz,07/2026
Kürzungsrecht — fehlende fernablesbare Ausstattung,3 %,"01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21), 01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21)",verify-before-production,27. Juli 2026 19:02,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__12.html,§ 12 Abs. 1 S. 2 HeizkostenV,Verordnung,07/2026
§ 35a-Ausweis für den Mieter,"Lohn-/Handwerkeranteil je Kostenzeile, zeilenweise gerundet",01 · Die Abrechnung (https://app.notion.com/p/01-Die-Abrechnung-3a95fd420731816c9048ed7a517c3e9e?pvs=21),geprüft,26. Juli 2026 21:27,31. Januar 2027,https://www.gesetze-im-internet.de/estg/__35a.html,§ 35a Abs. 2–3 EStG,Gesetz,07/2026
Warmwassertemperatur tw (K5),60 °C Default,01b · Heizkosten- & CO₂-Verteilung (https://app.notion.com/p/01b-Heizkosten-CO-Verteilung-3a95fd420731814e9e5be043028d4856?pvs=21),verify-before-production,26. Juli 2026 21:27,5. August 2026,https://www.gesetze-im-internet.de/heizkostenv/__9.html,"§ 9 Abs. 2 HeizkostenV („gemessene oder geschätzte"" Temperatur — Schätzung ausdrücklich zulässig). Technische Begründung des Defaults 60 °C: DVGW-Arbeitsblatt W 551 verlangt für Großanlagen mind. 60 °C am Austritt des Trinkwassererwärmers (Legionellenprophylaxe). Einzelanlagen können niedriger liegen — dort ist 60 °C zu hoch angesetzt.",Konvention,07/2026
